参数1_文本,参数3_文本,参数5_文本,参数7_文本,参数8_文本,参数9_文本,参数10_文本,参数11_文本,参数12_文本,参数13_文本,参数14_文本
港女average幾$ 1Q,公價,25以上300,後生700,1,4,,,,,
International summer WIE 2022,2.2,想問下有offer嘅大家gpa幾多？🥲驚gpa太低冇offer,想問下你個dept有無批ows,5,69,,,,,
GIS Engine LSGI3315 大家咩分？,👀,大家點？,你答先,2,5,,,,,
__,Depends on the case la,Sorly我係垃圾利申 a,垃圾就認啦仲 Appeal,2,4,,,(求過來人解答) Clc appeal成功率高唔高,,
AMA￼陣亡！！！,4:00 gang gang,法,基本,2,5,,,,,
Car出分未？,Final essay 出咗,,,,,,,,1,1
幫人問，讀polyu finance有咩出路,無見過讀finance嘅人會乞食,財爺,警隊,1,14,,,,,
天日gpa會唔會偷跑?,"Because not same, u watch carefully","Hi, we are same emoji, but why 你無1個個圓圈既",都話左,1,12,,,,,
__,同你所謂既opt女神好似，一樣禁一般,有冇ig,Opt女神,1,18,,,5寶有冇咩靚仔靚女介紹下,,
有無poly人打poker,😂😂😂poker game 自己手上有2隻，出面牌5隻組合成最大,咩係poker?,🤣🤣🤣poker 交流下~~~平時有無打開,1,4,,,,,
想上支正經soc 莊識下人,李家超思想學習小組,習近平思想學習小組,自己起一支,1,4,,,,,
招兩隊員玩Videotutorial competition,push,Unfold Your Hidden Talent 相信大家都收到email~  我地現誠招兩隊員😍有意dm,,,,1,2,,,
想溝28fbsa Hailey 求攻略,一齊,我同spencer咁friend,,,,9,61,,,
其實AF kxx chxxx究竟係邊個？,周圍食女實畀人唱,你碌下啲post大把,afs仲有好多件狗公,1,7,,,,,
4大名著論文幾多分,😂😂,大把人投30分,27，阿sir話今次最高29,1,4,,,,,
Af wie填邊份form？,Google,有冇人知,,,,1,2,,,
新hall難唔難reg,9成nds,易,,,,1,2,,,
韓國summer exchange r frd 區,Korea University ✋🏻,kai_chungg,ig,1,11,,,,,
一個Carl就成功幫 Afs Tim洗底,提都唔提得 afs莊員又贏,咁又點？要日日提？,香港人真系善忘,1,4,,,,,
fbsa世一,真相,Hailey 世一,Hailey好靚,1,42,,,,,
邊個hall最挽得,石硤尾hall,挽你老母,勵志最好玩,1,8,,,,,
有咩男仔名最核突,Carl,Ben,Calvin,1,34,,,,,
暑sem開唔開bfin,冇開..,estudent 睇,今個sem 多數 f,1,4,,,,,
揀成德hall好唔好,who is jeff🤔,傻閪jeff唔撚出聲？,,,,1,7,,,
40 Afs Fai 食莊員 winnie,就嚟AFS有人痾屎都係新聞,一早知啦 呢單,個頭好柒🤣,2,14,,,,,
應該整個上莊黑名單,你情我願啦呢啲嘢,成班傻仔,利用fm比錢嘅oday去溝女 自己莊員唔洗出錢 呃fm錢食女冇問題？,1,9,,,,,
收bfin exam source,"i have, pm me",,,,,,,,1,1
Comp2421 final 一問,出咗龜,不過exam簡單過mid term 係唔夠時間做。。,,,,1,17,,,
有冇dept exam已出分🤮,mm4311,請問MM 咩科出左？見唔到🙏🙏,ME,1,6,,,,,
__,原來有1題update左,,,,,,,Lsgi2341a exam幾分,2,1
有冇人黎緊semester1去uk exchange?,想問有冇funding?,Me,Pm,1,6,,,,,
BTMS / BTME Year 2 完sem 討論區,依個唔係大學生討論區？？？,高清仔諗住搵咩full time job😅,有咩想討論？,2,4,,,,,
UK Summer exchange,有冇summer去uk嘅,,,,,,,,1,1
有冇人識做bfin take home q4,Pm me,18 c find bf pm,af係online exam,1,9,,,,,
__,Exam勁難勁低分,,,,,,,Lsgi2341a overall幾多分,2,1
有冇黎緊sem1去Sweden呀？,18 c find bf pm,有冇funding?,Pm,1,5,,,,,
Afs招組爸媽,理大潛水學會,🤣,Tim哥同afs已經潛曬水,2,24,,,,,
Wong Cho Yu 點讀,個名好似一個物華莊員 啲人可能會撈亂,有冇人知點讀plz 唔想讀錯😹,你係邊位,1,7,,,,,
求BRE364考試source,5難,唔難wo,有冇人😭,3,,,,,,
Wong Siu Hong 點讀,黃小康,汪少香,王兆康,1,7,,,,,
求cse30310 source,Push,push,push,1,4,,,,,
考完Life science，大家覺得點,輕鬆,垃圾,感覺上比前兩次test難好多,1,4,,,,,
聽Invigilator要exam前要每個人面對cam對樣,其實講得話要對樣就一定會做，有啲係會講明你exam期間唔可以戴口罩同戴帽,要除bra,上次聽到佢叫人除,1,8,,,,,
AFA難到痴線,易就唔係advanced 啦,究竟close book考有乜可能計到咁多嘢 CLS,,,,1,2,,,
☠,不好 難到仆街,唔好 覺得要炒,含撚笨柒,5,,,,考完AMA1501 嘅你地，安好嗎？,,
有冇soc想搞活動但冇場？,你dm佢地ig,Afs 搵緊場搞活動,Pm,2,4,,,,,
IA1 retake圍爐區,真心咩,是,今年份卷咁簡單，pass唔到係咪應該要檢討下,1,3,,,,,
考試hide左blackboard個page,bb係咁彈野覺得好煩想禁走果陣發覺禁左去第二個page仲要係google 考試前無x曬會唔會俾人當出貓嘎🥲,,,,,,,,1,1
有冇人想討論Ia 2 pp question,Pm,Pm,Pm,1,10,,,,,
有冇人收到SW intern offer？,咩人先會做西wing 有big4唔做😂,我上年夠做SW，佢4月底先打來派return 我話不了⋯⋯,你幾時interview?🙏🏻🙏🏻🙏🏻,1,12,,,,,
IA2 Quiz,完全唔記得essay題目係乜😢😢,垃撚圾,佢再出咁難既essay我會死,1,5,,,,,
大家完sem未 今個sem GPA aim幾多,3.3都要cheat…你有冇咁廢呀,成班cheat狗仆街死啊垃圾,知啦地底泥,2,15,,,,,
有20/21年 Bruce出嘅exam sources,成班垃圾,仲要問人攞source...,bruce 出題已經超簡單,1,19,,,,,
AF3313今個sem f2f考試,Pm,Pm plz,Pm,1,73,,,,,
放IA1 A+source,pm,我有,Pm,1,9,,,,,
Fbsa已經算好,真係！其實兩個個名都臭咗幾十年，都唔知班友上個臭莊jm9🤷🏻‍♀️,Fb 冇人會post啲咁嘅垃圾story囉,FBSA啲人又乘機起到攞彩😂,1,13,,,,,
__,成德個個條撚好短,唔係成德嗰個Jeff 先係gay咩,物華狗公Jeff係咪扮gay食hss Candy揚到通街都係😂,9,16,,,物華Jeff係咪gay,,
暑sem一定要f2f?,Next sem 1 not yet announced. 邊個知第六波幾時爆？,Sem 1 f2f,Hybrid,1,6,,,,,
2022 Fall exchange,之前好似有封email係for申請exchange schlorship,想問點先有funding?,poly直接叫我去問梨花嗰邊🤣我一陣send email,3,17,,,,,
[突發] Afs上咗連登,佢地已經唔見曬人,有冇afs既人回應下？,D Ig story藍到仆街,1,7,,,,,
Afs ocamp冇人去 texxy狂tag人好核突,我係fm一定唔join,"覆果幾個thm, csw , 同wuchunyin都係物華狗公",📷,1,4,,,,,
bre337 property law,take home exam有冇高人可以幫手,,,,,,,,1,1
韓國 exchange,乜原來男都可以去女校exchange slssss🤣🤣,韓妹易唔易溝,sem1 中央大學,1,14,,,,,
ABCT1741 Gen Chem 大家考成點,搵食艱難,林sir讀來預備教chem?,是🥲,2,6,,,,,
Radiobiology咩grade,77.5,靚龜,咩分係A-?,2,38,,,,,
mm2425交換答案,無人抄啦 一抄就發現,"啲answer 唔係standard answer,對完則係俾人炒",(⁎⁍̴̛ᴗ⁍̴̛⁎),2,6,,,,,
大家tax exam考成點,Btw 你地CA大概幾多分,但tax都係最易拎a range既科…. 因為大家都有好多野唔小心錯啲錯啲咁,,,,1,13,,,
SN3303點溫,係咪淨係溫佢lec notes 嗰啲就夠,Thanks,,,,1,9,,,
MA2會唔會出得太簡單,Ez,而且data analytics直接背definition,係同pp format差唔多嘅,1,10,,,,,
AF2110 幾多分先pass,吹水,好難啊！呢次真係唔太識😵‍💫,上個sem exam一半唔識都b+,1,6,,,,,
想知ama啲科幾分先有B,B+ 70+  已經有,B- - B+ : 65-85,Lv1/2 科65 就有 簡單,1,6,,,,,
有冇人做緊MA2 3112 past paper 想￼討論下,Pm,pm! 已做完 想check答案,Pm,1,8,,,,,
想Company Law 咩分 A range grade,76,,,,,,,,1,2
FYP fail左，唔知點搵工,冇怕， 唔係D以下就得， cgpa冇咩影響， 4年的credit你拉極埋一個grade (0.1左右),我都有少少擔心fail,邊有咁快出Result 🤔,1,12,,,,,
__,好似amber heard咁床上屙,嚟緊暑sem同rm兩個都諗住留。明明咁多空房但唔比人一個人霸間空房住，好嬲好嬲,,,,2,,有冇方法可以自己一個霸一間房,,
BRE206 exam 求救,fail硬,唔識答第一題,,,,2,7,,,
AF4320 cfin exam,九5答7,屌哂你班,你地個班冇咩? 意為班班都係咁,1,11,,,,,
Final卷係prof定ta改多？,康康托周晰之福，乜都有 TA使,我都想有TA 幫我改卷,TA,2,6,,,,,
lsgi2373 surveying exam,有啲計唔到,74,你幾分🙈,2,6,,,,,
Company law essay grade,正常,sandy出名鬆手,想知道sandy比分係咪特別低😦,1,3,,,,,
一人一個ITC 男神,...,Yr3 Carlos好正,係咪year 3嗰個,8,25,,,,,
考試嗰日屋企停電點算好？,我有問補考咩？？？ 問下除佐係屋企之外仲有咩地方考都唔得？,屌你老母咁又問,傻嘅都知除佐sick leave先有得補考，但我又唔係病😂,1,20,,,,,
壓力好大想請槍,想了解下喎 pm?,AMA so sad,ama gunner,1,9,,,,,
__,around 30,大約幾多% 要retake?,,,,1,2,AMA1130 grade,,
ELC3221 A3 grade,really?,agnes 就手緊,我覺得我寫得一般都有B＋，仲以為唔係好緊,1,32,,,,,
__,加油加油！！！,今個禮拜好多嘢做 好chur好辛苦啊啊啊啊啊啊😭,我就改卷已經覺得好大壓力呀,5,241,,,考試解壓鳩叫區,,
Civil師兄入,有無civil師兄有CSE20308 construction material past paper答案🙏🏻🙏🏻,,,,,,,,2,1
Exchange點樣apply?,想問係咪正常都有得exchange…會唔會poly nom完但間學校唔收,FB係已經過左 兩round都,application period係咪過咗 見有啲都準備緊sem 1去exchange,1,5,,,,,
原來group project即係命令同服從？,始终友善啲会好点既！,遇過無料又要lead，又唔聽人idea嘅癡線鳩，比我揀寧願一個人做晒好過🥱,如果一個group project 無人lead住個個唔做冇任何意見係好事？樓豬叫命令同服從係太偏激同搵交嗌。大多數project 就算有人 lead住，多數有傾有講，大家有溝通唔存在所謂命令或服從反而係分工合作。好少真係好少，人生有一次遇到公認顛西以為自己好勁但後門狗都不如的東西lead唔住但又迫人用 handout 一日到晚一齊做 project，佢有自己班 friend但成班都唔妥佢。只有傻西先以為佢勁，同佢做 project有保證。屌！隨機同佢做 project 嘅冇個服後門狗！,1,15,,,,,
mm2425 final answers,Pm,I have mm2425 sources,Pm,2,26,,,,,
Af3210 hk tax,溫成點,,,,,,,,1,1
campus除左拉把重有邊度可以24,M core天台,,,,,,,,1,1
有無final yr出左grade先搵工,個市咁差，抖陣先,揾咩工,,,,1,2,,,
af3316 final（Lawerence）有冇人一齊,pm,pm,pmpm,1,9,,,,,
AF1605幾時final? 無講既？,你瞓左半個學期？,,,,,,,,1,1
有冇人想私補韓文✨,學咗9年 喺中學做過韓文老師 minor想補習/由0開始學都歡迎~ pmpm!!,,,,,,,,1,1
__,(10000-400)*0.07-100+400?,有冇人可以幫手解釋吓972係點樣計出尼,📷,1,3,,,Af2108 一問,,
__,做tut夠哂 B+以上,有無exam source 或者識點樣溫/考？,,,,1,2,BRE206 仲有幾日就考 求救！,,
祝請槍既一係俾人捉到一係畢唔到業,同意,,,,,,,,6,1
Lgt3425 indi asm,Pm thanks,Can help,請槍Pm,1,3,,,,,
有冇sem 2 去意大利exchange?,有冇人阿姆斯特丹,有無人比利時,黎緊都去Bocconi,1,9,,,,,
有冇人有AF1B02 source,過左期,pm,有,1,6,,,,,
HD in Civil Engineering,同求條友講嘢一嚿嚿咁 成年都唔知佢噏乜,Ching 有冇人可以share下engineering surveying LSGI 12961 notes 😭😭,希望你捱得住🤓🤓,1,7,,,,,
BBA有咩free elective推介,Weak,你渣姐,cfin殺左我啦,8,16,,,,,
求放apss2s09s source,Pm,pm me a source,,,,1,2,,,
理大網上授課 延遲考試,🔥加入全香港最大聯盟，為大家帶來一個更舒適更好玩既Poker平台 🔥1000人在線 多台多腳多選擇 人氣旺盛🔥歡迎大學生加入賺零用 月入4000起🔥高回水 多活動 獎品豐富香港代理 🎉 📌Poker NLH 📌13張 📌OFC 📌PLO4-6 ♥️♠️快d入黎試玩🎰內設Jackpot 及保險💰💵 贏錢無難度🙆🏻‍♂️⭐️完全公平機制 隨機發牌⭐️GPS，IP定位功能 防止夾打出千 定期有管理員監場♥️♥️♥️♥️立即加入: 1.請先下載XPOKER APP2. X-Poker join club請按以下LINKhttps://xpoker.page.link/3Wgh手動輸入俱樂部ID: 457498推薦人ID: 531115 (必須要入）Buy in please pm telegram TG:@nocommunist🔥港幣$10hkd=1 chips♠️🚗🔥任何時候轉返錢走都得 🔥出入錢方便快捷！存款/提款：1.轉數快FPS2.Payme,if yes pm cd andy,理論上而家仲係exam week 係要交功課同考試 而唔係完sem,31,58,,,,,
__,🔥加入全香港最大聯盟，為大家帶來一個更舒適更好玩既Poker平台 🔥1000人在線 多台多腳多選擇 人氣旺盛🔥歡迎大學生加入賺零用 月入4000起🔥高回水 多活動 獎品豐富香港代理 🎉 📌Poker NLH 📌13張 📌OFC 📌PLO4-6 ♥️♠️快d入黎試玩🎰內設Jackpot 及保險💰💵 贏錢無難度🙆🏻‍♂️⭐️完全公平機制 隨機發牌⭐️GPS，IP定位功能 防止夾打出千 定期有管理員監場♥️♥️♥️♥️立即加入: 1.請先下載XPOKER APP2. X-Poker join club請按以下LINKhttps://xpoker.page.link/3Wgh手動輸入俱樂部ID: 457498推薦人ID: 531115 (必須要入）Buy in please pm telegram TG:@nocommunist🔥港幣$10hkd=1 chips♠️🚗🔥任何時候轉返錢走都得 🔥出入錢方便快捷！存款/提款：1.轉數快FPS2.Payme,有無人癲到Year4都玩subcom黎上莊？會唔會收佢做莊員？,證清返 理論上唔賺得$,42,82,,,現莊P 你問我答,,
O,🔥加入全香港最大聯盟，為大家帶來一個更舒適更好玩既Poker平台 🔥1000人在線 多台多腳多選擇 人氣旺盛🔥歡迎大學生加入賺零用 月入4000起🔥高回水 多活動 獎品豐富香港代理 🎉 📌Poker NLH 📌13張 📌OFC 📌PLO4-6 ♥️♠️快d入黎試玩🎰內設Jackpot 及保險💰💵 贏錢無難度🙆🏻‍♂️⭐️完全公平機制 隨機發牌⭐️GPS，IP定位功能 防止夾打出千 定期有管理員監場♥️♥️♥️♥️立即加入: 1.請先下載XPOKER APP2. X-Poker join club請按以下LINKhttps://xpoker.page.link/3Wgh手動輸入俱樂部ID: 457498推薦人ID: 531115 (必須要入）Buy in please pm telegram TG:@nocommunist🔥港幣$10hkd=1 chips♠️🚗🔥任何時候轉返錢走都得 🔥出入錢方便快捷！存款/提款：1.轉數快FPS2.Payme,叫becham會d,📷,286,1053,,,我係奧雲 今年直選校董 你想我爭取咩野？,,
Bfin Exam,thx,個電郵真係1999,你睇多次嗰段野係for non AF,1,20,,,,,
Turnitin similarity,其實你可以send email叫professor開返 因為學生都有權睇自己個%,當然會睇，呢個係用turnitin嘅意義，不過prof唔俾學生睇咁解,Prof 可以set 做交晒至俾Turnitin run 個 report.,1,4,,,,,
發現自己係gay嘅,Me bi,早晨,"Pm me, want 10+ sex partners",1,22,,,,,
Rsm intern,入去都喺幫下sme 好少exposure,規模退步到就離同local差唔多,rsm 剩返好少listed com做,1,7,,,,,
有無人聽得明AF1605講咩？,可幫手,聽日quiz 死得,上堂UReply 亂答,1,6,,,,,
有冇人入咗麻將谷？,想入想打牌🥹,求link,想入,2,6,,,,,
放Mm Source,Bba compulsory 嘅 mm source有意pm,,,,,,,,1,1
如果成組都冇人做野點好,Agger,然後cap圖比professor port9班仆街👍🏻,催多幾次 冇人理就自己做,1,20,,,,,
有無人比 professor拒絕寫 reference,我叫個master program leader幫我寫俾我報master,上得一個course 好難熟到有咩寫。求其standard 交差既信其實無用。,Agger,1,5,,,,,
收Company Law A/B range Source,pm,比火,pmpm,1,6,,,,,
賣AF source😛,Pm,Pm,pmpm,108,,,,,,
mtr尋人,pmmmm,是禾你信唔信,find 1點3左右南昌站嘅女仔黑色長襪想交換ig,1,3,,,,,
總分要攞幾多分先有F grade？,AMA 30以下先F,咩科？,最高見過85/100，F,2,16,,,,,
有冇人讀緊her story？,我讀my story,pm me,Pm🙇🏻‍♀️🙇🏻‍♀️,1,30,,,,,
ELC3221 A3 求救,"I can help, pm me",Have a range source 有prove,pm,1,20,,,,,
MA2 B range,MA2 幾時考,至少 因為冇check到考試個分 但係都係咁上下,我攞A係8成 😂,1,7,,,,,
Radiobiology 爛grade？,😨,,,,,,,,1,1
Source,幾十蚊起,你可以係度買，之後email賣家資料畀professor問佢呢個價錢啱唔啱,Year 1 小薯路過。想問下賣source 通常會包括啲咩，同埋賣幾錢,1,3,,,,,
學生會終於收皮🥳🥳🥳🎉🎉🎉,學生校董都可以收皮了,抵死！！！,有國安法依枝定海神針，乜都唔使怕了,2,11,,,,,
行山？,有幾多人？,pm,你男定女,1,6,,,,,
__,Pm,Pm,Send左,1,15,,,收af3316 & lgt2106 source,,
CBS 2631 korean 1,Written難,大家覺得個written 同oral 難唔難,,,,1,2,,,
her story test 放source,Pm,Pm,pmed,1,12,,,,,
fyp 有無人無咩點搵過supervisor,Real,Agger,supervisor 不嬲廢,1,3,,,,,
hello😭😭🥺有冇人識用clo 3D,可以dm嗎？可以議價 因為真係好重要🥲🥲,how much,,,,2,2,,,
收AF3112 MA2 source,pm,pm,I have pm me,1,3,,,,,
收BSE formal lab report source,hello want,Pm,Lm,2,17,,,,,
點解CNN可以咁多野溫,Convolutional neural network?,🥲,,,,2,2,,,
有冇遇過tutor/prof乞分,仲有見得13次咁大把,問題一班咁多學生，認都唔認得,有好多professor 都仲好關心畢業咗嘅舊生,2,8,,,,,
CBS4901今日exam有人出cheat比sophia鬧,係囉😂點出cheat法,邊個出cheat咁大膽,點捉到😂,1,5,,,,,
"請把所有ig, 微信上的代考證據放在這裡",無,,,,,,,,1,1
Lsgi intern,LSGI入天文台intern係做啲嘜㗎,好，因為往年大約四月中就開,未開 今年遲啲先有,1,13,,,,,
多唔多偽 ABC腔友,Agger,你就係呢種自大造作垃圾，需要人 judge你騎呢唔準又扮勁嘅accent,同意，咁judgemental㗎咩,1,9,,,,,
__,？？elc201_嗰啲超靚grade喎,elc=慘,clc is ok,2,16,,,Clc演講拎b+算唔算低分,,
推唔推介 BME1D04,Good point,點解叫BEM而唔係BME?,大伏都 waiting list,1,3,,,,,
ABCT1D06 Presentation,有冇人試過冇做到嗰peer evaluation搞到扣分？真係以為淨係問問題就夠🥲原來仲要做evaluation三日淨係做咗一日 因為今日先發現😭,,,,,,,,1,1
__,Open book人人拎滿分唔係仲好咩,救命 好撚廢,,,,3,2,Bim個test完全唔夠時間做，open book咪仲好,,
而家可唔可以帶人入學校？,而家可唔可以帶人入poly？,,,,,,,,1,1
group project唔做其實好小事,好小事啦 project嚟講 成功交到份野已經奇蹟 仲care分數咩🤣,估下🤣,結果professor話要改進嘅嘢exactly就係groupmates同佢講嘅嘢,1,10,,,,,
求Comp2333 python,如題,,,,,,,,1,1
capstone project駛唔駛present㗎？,文科唔使,唔使 利申我唔使,幾時pre啊,1,5,,,,,
Mm3425 individual assignment,Pushhhhhhh,Samee,Plz helpppp,1,3,,,,,
Summer term讀Claw點樣,讀Claw同埋clc🫠,+1 都要讀,God🫠,1,6,,,,,
韓文,都係答問題,Written 呢,,,,2,6,,,
想出pool,你搵fb 潤東？佢都好似想搵男朋友,就要拍返一段著泳衣/泳褲從泳池上水既片段，放上ig.,,,,1,2,,,
exam open book可唔可以用iPad睇notes,有撚用😅,理論上係以上講嘅都唔得，但係冇監考嘅話，話知你,open book冇人管,1,18,,,,,
